Horizoltal	Vertical	H_Elipse	V_Elipse
-0.07797317	0.1917254	-0.3327205	0.4212285
-0.07653443	0.1709605	-0.338311	0.3084466
-0.07653443	0.1709605	-0.338311	0.3084466
-0.06435836	0.1531785	-0.2097381	0.1881558
-0.06435836	0.1531785	-0.2097381	0.1881558
-0.02854488	0.1268667	0.1204247	0.01006321
-0.02854488	0.1268667	0.1204247	0.01006321
-0.02523149	0.1005663	0.1886064	-0.1554223
-0.02523149	0.1005663	0.1886064	-0.1554223
-0.02339047	0.06380674	0.1807722	-0.3412982
-0.02339047	0.06380674	0.1807722	-0.3412982
-0.01862942	0.03683792	0.2155725	-0.4771956
-0.01862942	0.03683792	0.2155725	-0.4771956
-0.0004736842	-0.01389155	0.3747691	-0.7636804
-0.0004736842	-0.01389155	0.3747691	-0.7636804
0.02328526	-0.04071608	0.6155747	-0.9692078
0.02328526	-0.04071608	0.6155747	-0.9692078
0.05465604	-0.06483959	0.9811205	-1.20769
0.05465604	-0.06483959	0.9811205	-1.20769
0.0682622	-0.131546	1.049609	-1.534916
0.0682622	-0.131546	1.098676	-1.408981
0.07428411	-0.1571203	1.137017	-1.531087
0.07428411	-0.1571203	1.181392	-1.437998
0.08662478	-0.1980293	1.279029	-1.637499
0.08662478	-0.1980293	1.360963	-1.500201
0.08926217	-0.2136154	1.366841	-1.560942
0.08926217	-0.2136154	1.401133	-1.513939
0.09479399	-0.2397506	1.42804	-1.619044
0.09479399	-0.2397506	1.487477	-1.543227
0.09375069	-0.2611159	1.424328	-1.596832
0.09375069	-0.2611159	1.470975	-1.537655
0.09051515	-0.2923178	1.360667	-1.605344
0.09051515	-0.2923178	1.420441	-1.520517
0.07799933	-0.3047716	1.214966	-1.4895
0.07799933	-0.3047716	1.234015	-1.45635
0.07177125	-0.3207048	1.125887	-1.468332
0.07177125	-0.3207048	1.146491	-1.425778
0.0708025	-0.3543184	1.094198	-1.509827
0.0708025	-0.3543184	1.133184	-1.421109
0.06608783	-0.3905439	1.033878	-1.491189
0.06608783	-0.3905439	1.069582	-1.398735
0.0560465	-0.448932	0.9006755	-1.500383
0.0560465	-0.448932	0.9404073	-1.353105
0.04347259	-0.4861277	0.7726183	-1.389705
0.04347259	-0.4861277	0.7902027	-1.300217
0.02796639	-0.5283192	0.6103736	-1.3436
0.02796639	-0.5283192	0.6213489	-1.242333
0.001763156	-0.5644525	0.3686668	-1.253499
0.001763156	-0.5644525	0.3711736	-1.166045
-0.008815561	-0.5873047	0.2794275	-1.19798
-0.008815561	-0.5873047	0.2801654	-1.143949
-0.01826113	-0.6217194	0.202059	-1.209267
-0.01826113	-0.6217194	0.2024766	-1.128843
-0.04013633	-0.6506647	0.03064456	-1.177724
-0.04013633	-0.6506647	0.03064584	-1.111534
-0.04972214	-0.6608509	-0.0433057	-1.134564
-0.04972214	-0.6608509	-0.04330699	-1.111953
-0.04966964	-0.6610183	-0.04290124	-1.112306
-0.04966964	-0.6610183	-0.04290126	-1.111938
-0.05305542	-0.6648467	-0.06910519	-1.121652
-0.05305542	-0.6648467	-0.06910717	-1.113249
-0.06962412	-0.6827499	-0.199578	-1.167027
-0.06962412	-0.6827499	-0.1997816	-1.128392
-0.09275936	-0.7085737	-0.3940086	-1.225511
-0.09275936	-0.7085737	-0.3958968	-1.172718
-0.1063342	-0.7238649	-0.5202982	-1.23981
-0.1063342	-0.7238649	-0.5225773	-1.210265
-0.1110673	-0.7292851	-0.5682551	-1.235374
-0.1110673	-0.7292851	-0.5692614	-1.225189
-0.1110673	-0.7292851	-0.5692614	-1.225189
-0.1110673	-0.7292851	-0.5692614	-1.225189
-0.1110673	-0.7292851	-0.5692614	-1.225189
-0.1110673	-0.7292851	-0.5692614	-1.225189
-0.1110154	-0.7289268	-0.5688081	-1.224351
-0.1110154	-0.7289268	-0.5688081	-1.224351
